Cook_Name,Cook_Surname,Recipes_name
Everett,Witt,Gulasch (Hungarian Stew)
Everett,Witt,Gulas (Hungarian Goulash)
Everett,Witt,Pörkölt (Hungarian Pork Stew)
Everett,Witt,Fiš paprikaš (Hungarian Fish Stew)
Everett,Witt,Chicken Paprikash (Hungarian Paprika Chicken)
Everett,Witt,Goulash
Olive,Lord,Shakshuka (Israeli Eggs in Spicy Tomato Sauce)
Olive,Lord,Kreplach (Jewish Dumplings)
Hugo,Penn,Shakshuka (Israeli Eggs in Spicy Tomato Sauce)
Hugo,Penn,Kreplach (Jewish Dumplings)
Mabel,Thorne,Bun Bo Hue
Mabel,Thorne,Pho Ga (Vietnamese Chicken Noodle Soup)
Rhys,Gallegos,Sarma (Stuffed Cabbage Leaves)
Rhys,Gallegos,Pasulj (Bean Stew)
Rhys,Gallegos,Popara (Cornbread with Cheese)
Rhys,Gallegos,Zeljanka (Sauerkraut Stew)
Daphne,Riggs,Falafel Pita Pockets
Daphne,Riggs,Hummus Wrap
Daphne,Riggs,Falafel
Rowan,Keene,Pierogi (Polish Dumplings)
Fiona,Langley,Lentil Soup
Fiona,Langley,Baklava
Oscar,Lindsay,Fruit Salad
Iris,Darwin,Ful Medames
Felix,East,Mofongo (Brazilian Mashed Plantains)
Felix,East,Etouffee (Cajun Stew)
Ada,Hensley,Pad Thai
Ada,Hensley,Tom Yum Soup
Ada,Hensley,Green Curry with Chicken
Ada,Hensley,Tom Kha Gai (Thai Chicken Coconut Soup)
Ada,Hensley,Pad See Ew
Ada,Hensley,Lumpia (Thai Spring Rolls)
Ada,Hensley,Tom Kha Kai Kai Dao (Thai Coconut Curry Omelet)
Juliet,Cooley,Bun Bo Hue
Juliet,Cooley,Pho Ga (Vietnamese Chicken Noodle Soup)
Kai,Vang,Ful Medames
Nora,Fountain,Pad Thai
Nora,Fountain,Tom Yum Soup
Nora,Fountain,Green Curry with Chicken
Nora,Fountain,Tom Kha Gai (Thai Chicken Coconut Soup)
Nora,Fountain,Pad See Ew
Nora,Fountain,Lumpia (Thai Spring Rolls)
Nora,Fountain,Tom Kha Kai Kai Dao (Thai Coconut Curry Omelet)
Silas,Keys,Nigerian Jollof Rice
Beckett,Paris,Ful Medames
Margot,Gibbons,Ful Medames
Phoebe,Sierra,Mofongo (Brazilian Mashed Plantains)
Phoebe,Sierra,Etouffee (Cajun Stew)
Reid,Shoemaker,Beef and Broccoli Stir-fry
Reid,Shoemaker,Kung Pao Chicken
Reid,Shoemaker,Spring Rolls
Reid,Shoemaker,Chicken Stir-fry with Broccoli
Willa,Elmore,Sushi Bake
Willa,Elmore,Chicken Katsu Curry
Willa,Elmore,Gyoza
Willa,Elmore,Miso Soup
Levi,Coulter,Paella Valenciana
Eden,Gold,Penne Arrabbiata
Eden,Gold,Tuscan White Bean Soup
Eden,Gold,Caprese Salad
Eden,Gold,Pasta Primavera
Eden,Gold,Chicken Alfredo
Eden,Gold,Mushroom Risotto
Eden,Gold,Lasagna
Eden,Gold,Spaghetti Carbonara
Eden,Gold,Caprese Pasta Salad
Eden,Gold,Chicken Marsala
Eden,Gold,Risotto
Eden,Gold,Tiramisu
Harlow,Plain,Ful Medames
Lillian,Gage,Sushi Bake
Lillian,Gage,Chicken Katsu Curry
Lillian,Gage,Gyoza
Lillian,Gage,Miso Soup
Everett,Elder,Greek Yogurt Marinade Chicken Souvlaki
Everett,Elder,Greek Yogurt Parfait with Granola and Berries
Everett,Elder,Moussaka
Everett,Elder,Greek Salad
Piper,Groves,Spiced Chickpea Curry with Coconut Milk
Piper,Groves,Chicken Tikka Masala
Piper,Groves,Butter Chicken
Piper,Groves,Beef Vindaloo
Piper,Groves,Aloo Gobi (Potato and Cauliflower Curry)
Piper,Groves,Chicken Curry
Piper,Groves,Tandoori Chicken
Archer,Story,Beef Stroganoff
Archer,Story,Pirozhki (Russian Savory Buns)
Archer,Story,Solyanka (Russian Meat Stew)
Griffin,Faulkner,Ratatouille
Griffin,Faulkner,Salmon with Lemon Dill Sauce
Griffin,Faulkner,Beef Bourguignon
Griffin,Faulkner,French Toast
Griffin,Faulkner,Potato Leek Soup
Griffin,Faulkner,Ratatouille Tian
Griffin,Faulkner,Pan-Seared Salmon with Lemon Butter Sauce
Griffin,Faulkner,Coq au Vin
Griffin,Faulkner,Croissants
Josie,Lord,Beef Stroganoff
Josie,Lord,Pirozhki (Russian Savory Buns)
Josie,Lord,Solyanka (Russian Meat Stew)
Simon,Honeycutt,Nigerian Jollof Rice
Hugo,Christensen,Falafel Pita Pockets
Hugo,Christensen,Hummus Wrap
Hugo,Christensen,Falafel
Rhys,Riddle,Shakshuka
Daphne,Byron,Chicken Fajitas
Daphne,Byron,Tacos
Daphne,Byron,Fish Tacos
Daphne,Byron,Black Bean Burgers
Daphne,Byron,Guacamole
Daphne,Byron,Beef Enchiladas
Daphne,Byron,Curried Goat (Mexican Dish)
Oscar,Valentine,Beef Wellington
Oscar,Valentine,Shepherd's Pie
Oscar,Valentine,Bangers and Mash
Oscar,Valentine,Fish and Chips (English Classic)
Oscar,Valentine,Chicken Kiev Pie (English)
Fiona,Wills,Hummus and Veggie Wrap
Fiona,Wills,Chicken Shawarma
Jasper,Cable,Mofongo (Brazilian Mashed Plantains)
Jasper,Cable,Etouffee (Cajun Stew)
Mabel,Peak,Ratatouille
Mabel,Peak,Salmon with Lemon Dill Sauce
Mabel,Peak,Beef Bourguignon
Mabel,Peak,French Toast
Mabel,Peak,Potato Leek Soup
Mabel,Peak,Ratatouille Tian
Mabel,Peak,Pan-Seared Salmon with Lemon Butter Sauce
Mabel,Peak,Coq au Vin
Mabel,Peak,Croissants
Jude,Rush,Mofongo (Brazilian Mashed Plantains)
Jude,Rush,Etouffee (Cajun Stew)
Lila,North,Greek Yogurt Marinade Chicken Souvlaki
Lila,North,Greek Yogurt Parfait with Granola and Berries
Lila,North,Moussaka
Lila,North,Greek Salad
Tessa,Sage,Greek Yogurt Marinade Chicken Souvlaki
Tessa,Sage,Greek Yogurt Parfait with Granola and Berries
Tessa,Sage,Moussaka
Tessa,Sage,Greek Salad
Milo,Wolf,Chicken Kyiv (Chicken Kiev)
Milo,Wolf,Borscht (Ukrainian Borscht)
Milo,Wolf,Ukrainian Borscht with Meatballs
Cora,Meadows,Shakshuka (Israeli Eggs in Spicy Tomato Sauce)
Cora,Meadows,Kreplach (Jewish Dumplings)
Vivian,Pike,Mofongo (Brazilian Mashed Plantains)
Vivian,Pike,Etouffee (Cajun Stew)
Louis,Noble,Beef Wellington
Louis,Noble,Shepherd's Pie
Louis,Noble,Bangers and Mash
Louis,Noble,Fish and Chips (English Classic)
Louis,Noble,Chicken Kiev Pie (English)
Clara,Key,Paella Valenciana
Ally,Samatta,Lentil Soup
Ally,Samatta,Baklava
Magnum,Carlos,Bibimbap
Magnum,Carlos,Kimchi Jjigae (Kimchi Stew)
Magnum,Carlos,Bibimbap (Korean Mixed Rice Bowl)
Magnum,Carlos,Bulgogi (Korean Marinated Beef)
Abdussatorov,Nodirbek,Bibimbap
Abdussatorov,Nodirbek,Kimchi Jjigae (Kimchi Stew)
Abdussatorov,Nodirbek,Bibimbap (Korean Mixed Rice Bowl)
Abdussatorov,Nodirbek,Bulgogi (Korean Marinated Beef)
Hikaru,Nakamura,Sushi Bake
Hikaru,Nakamura,Chicken Katsu Curry
Hikaru,Nakamura,Gyoza
Hikaru,Nakamura,Miso Soup
Sam,Altman,Chicken Fajitas
Sam,Altman,Tacos
Sam,Altman,Fish Tacos
Sam,Altman,Black Bean Burgers
Sam,Altman,Guacamole
Sam,Altman,Beef Enchiladas
Sam,Altman,Curried Goat (Mexican Dish)
Razvan,Lucescu,Borsch (Beet Soup)
Razvan,Lucescu,Burek (Serbian Savory Pie)
Razvan,Lucescu,Ajvar (Serbian Pepper Spread)
Razvan,Lucescu,Cottage Cheese Pancakes (Serbian Palačinke)
Razvan,Lucescu,Pljeskavica (Grilled Flatbread Burger)
Razvan,Lucescu,Gibanica (Savory Pie)
Vladimir,Kramnik,Borsch (Beet Soup)
Vladimir,Kramnik,Burek (Serbian Savory Pie)
Vladimir,Kramnik,Ajvar (Serbian Pepper Spread)
Vladimir,Kramnik,Cottage Cheese Pancakes (Serbian Palačinke)
Vladimir,Kramnik,Pljeskavica (Grilled Flatbread Burger)
Vladimir,Kramnik,Gibanica (Savory Pie)
Garry,Kasparov,Ceviche
Fabiano,Caruana,One-Pan Lemon Garlic Salmon with Asparagus
Fabiano,Caruana,Scrambled Eggs
Fabiano,Caruana,Tuna Salad Sandwich
Fabiano,Caruana,Chicken Pot Pie
Fabiano,Caruana,Avocado Toast
Fabiano,Caruana,Chicken Noodle Soup
Fabiano,Caruana,Chicken Caesar Salad
Fabiano,Caruana,Pancakes
Fabiano,Caruana,Apple Crumble
Fabiano,Caruana,Chicken and Dumplings
Fabiano,Caruana,Club Sandwich
Fabiano,Caruana,Tuna Noodle Casserole
Fabiano,Caruana,Egg Salad Sandwich
Fabiano,Caruana,Grilled Cheese Sandwich
Fabiano,Caruana,Chicken Pot Pie with Puff Pastry
Fabiano,Caruana,Chocolate Chip Cookies
Fabiano,Caruana,Jerk Chicken (American Dish)
Levon,Aronian,Ratatouille
Levon,Aronian,Salmon with Lemon Dill Sauce
Levon,Aronian,Beef Bourguignon
Levon,Aronian,French Toast
Levon,Aronian,Potato Leek Soup
Levon,Aronian,Ratatouille Tian
Levon,Aronian,Pan-Seared Salmon with Lemon Butter Sauce
Levon,Aronian,Coq au Vin
Levon,Aronian,Croissants
Alexios Dimitrios,Lolis,Colcannon (Irish Mashed Potatoes)
Kostas,Karatzas,Beef Wellington
Kostas,Karatzas,Shepherd's Pie
Kostas,Karatzas,Bangers and Mash
Kostas,Karatzas,Fish and Chips (English Classic)
Kostas,Karatzas,Chicken Kiev Pie (English)
Vasilis,Kotronias,Ceviche
Mizakopoulos,Christoforos,One-Pan Lemon Garlic Salmon with Asparagus
Mizakopoulos,Christoforos,Scrambled Eggs
Mizakopoulos,Christoforos,Tuna Salad Sandwich
Mizakopoulos,Christoforos,Chicken Pot Pie
Mizakopoulos,Christoforos,Avocado Toast
Mizakopoulos,Christoforos,Chicken Noodle Soup
Mizakopoulos,Christoforos,Chicken Caesar Salad
Mizakopoulos,Christoforos,Pancakes
Mizakopoulos,Christoforos,Apple Crumble
Mizakopoulos,Christoforos,Chicken and Dumplings
Mizakopoulos,Christoforos,Club Sandwich
Mizakopoulos,Christoforos,Tuna Noodle Casserole
Mizakopoulos,Christoforos,Egg Salad Sandwich
Mizakopoulos,Christoforos,Grilled Cheese Sandwich
Mizakopoulos,Christoforos,Chicken Pot Pie with Puff Pastry
Mizakopoulos,Christoforos,Chocolate Chip Cookies
Mizakopoulos,Christoforos,Jerk Chicken (American Dish)
Lelovitis,Dimitrios,Beef and Broccoli Stir-fry
Lelovitis,Dimitrios,Kung Pao Chicken
Lelovitis,Dimitrios,Spring Rolls
Lelovitis,Dimitrios,Chicken Stir-fry with Broccoli
Kostas,Kavvadas,Chicken Fajitas
Kostas,Kavvadas,Tacos
Kostas,Kavvadas,Fish Tacos
Kostas,Kavvadas,Black Bean Burgers
Kostas,Kavvadas,Guacamole
Kostas,Kavvadas,Beef Enchiladas
Kostas,Kavvadas,Curried Goat (Mexican Dish)
Sam,Altman,Ćevapčići (Grilled Minced Meat Rolls)
Sam,Altman,Punjene Paprike (Stuffed Peppers)
Razvan,Lucescu,Ćevapčići (Grilled Minced Meat Rolls)
Razvan,Lucescu,Punjene Paprike (Stuffed Peppers)
Vladimir,Kramnik,Ćevapčići (Grilled Minced Meat Rolls)
Vladimir,Kramnik,Punjene Paprike (Stuffed Peppers)
Garry,Kasparov,Empanadas (Argentinian Pastries)
Fabiano,Caruana,Empanadas (Argentinian Pastries)
Levon,Aronian,Empanadas (Argentinian Pastries)
Alexios Dimitrios,Lolis,Palačinky (Czech Sweet Crepes)
Alexios Dimitrios,Lolis,Špekáčky (Grilled Sausages)
Kostas,Karatzas,Palačinky (Czech Sweet Crepes)
Kostas,Karatzas,Špekáčky (Grilled Sausages)
Vasilis,Kotronias,Palačinky (Czech Sweet Crepes)
Vasilis,Kotronias,Špekáčky (Grilled Sausages)
Mizakopoulos,Christoforos,Sauerbraten (German Pot Roast)
Mizakopoulos,Christoforos,Sauerbraten
Lelovitis,Dimitrios,Sauerbraten (German Pot Roast)
Lelovitis,Dimitrios,Sauerbraten
Kostas,Kavvadas,Sauerbraten (German Pot Roast)
Kostas,Kavvadas,Sauerbraten
