Name,Surname,Phone Number,Date of Birth,Years of Experience,Professional Expertise,Cook_Images
Lila,Hodge,4132257089,1993-09-09,12,2.sous_chef,images\Cooks\35.jpg
Felix,Knox,3025043129,1978-01-05,20,1.chef,images\Cooks\36.jpg
Margot,Conrad,8608054127,1986-03-28,16,5.C_cook,images\Cooks\37.jpg
Jude,Skinner,6159042124,1994-07-22,13,3.A_cook,images\Cooks\38.jpg
Eden,Noble,2254022098,1987-11-14,15,2.sous_chef,images\Cooks\39.jpg
Theo,Drake,2075149852,1985-05-19,16,4.B_cook,images\Cooks\40.jpg
Avery,McCarty,7347059018,1992-08-16,13,1.chef,images\Cooks\41.jpg
Lillian,Mueller,5599142048,1980-02-13,19,5.C_cook,images\Cooks\42.jpg
Levi,Proctor,6018153049,1996-06-11,11,2.sous_chef,images\Cooks\43.jpg
Piper,Wilder,9012257981,1983-12-25,16,4.B_cook,images\Cooks\44.jpg
Archer,Bright,9073102047,1990-03-05,14,3.A_cook,images\Cooks\45.jpg
Willa,Childs,2527083124,1991-11-29,13,1.chef,images\Cooks\46.jpg
Jasper,Compton,5402149081,1994-01-15,12,2.sous_chef,images\Cooks\47.jpg
Phoebe,McNeill,9198146098,1978-07-09,20,5.C_cook,images\Cooks\48.jpg
Simon,Calhoun,3072148021,1986-12-21,16,3.A_cook,images\Cooks\49.jpg
Josie,Daly,4108153241,1985-06-18,16,4.B_cook,images\Cooks\50.jpg
Griffin,Dunlap,3189165423,1985-10-25,16,1.chef,images\Cooks\51.jpg
Juliet,Stafford,4193072985,1979-01-19,19,5.C_cook,images\Cooks\52.jpg
Reid,Sterling,6052173245,1987-05-23,16,2.sous_chef,images\Cooks\53.jpg
Harlow,Powers,8125094381,1992-08-14,13,3.A_cook,images\Cooks\54.jpg
Ally,Samatta,2085143021,1977-04-14,21,4.B_cook,images\Cooks\101.jpg
Magnum,Carlos,6154023187,1990-09-17,14,3.A_cook,images\Cooks\102.jpg
Abdussatorov,Nodirbek,1234567890,2000-11-18,4,1.chef,images\Cooks\103.jpg
Hikaru,Nakamura,132432231,1987-12-09,15,1.chef,images\Cooks\104.jpg
Sam,Altman,6953231032,1985-04-22,17,5.C_cook,images\Cooks\105.jpg
Razvan,Lucescu,6942069420,1979-11-18,25,1.chef,images\Cooks\106.jpg
Vladimir,Kramnik,6942991702,1975-06-25,30,1.chef,images\Cooks\107.jpg
Garry,Kasparov,+447864732421,1963-04-13,42,1.chef,images\Cooks\108.jpg
Fabiano,Caruana,6987822033,1992-07-30,13,1.chef,images\Cooks\109.jpg
Levon,Aronian,6941437785,1982-10-06,18,1.chef,images\Cooks\110.jpg
Alexios Dimitrios,Lolis,6945900419,2003-11-17,1,5.C_cook,images\Cooks\111.jpg
Kostas,Karatzas,6941269440,1969-10-08,25,2.sous_chef,images\Cooks\112.jpg
Vasilis,Kotronias,6942069420,1988-01-08,25,4.B_cook,images\Cooks\113.jpg
Mizakopoulos,Christoforos,6923401230,2003-05-09,2,3.A_cook,images\Cooks\114.jpg
Lelovitis,Dimitrios,6953271294,1989-09-09,15,2.sous_chef,images\Cooks\115.jpg
Kostas,Kavvadas,6944567420,1988-06-25,4,5.C_cook,images\Cooks\116.jpg
